Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Domain Bucket
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Bringing power of AI/ML to aid of teacher in a classroom,Software,AK1095,16,Smart Education
"National Digital Education Architecture (NDEAR), Department of School Education & Literacy (DoSEL).",Teaching- Learning Marketplace/Volunteer matchmaking,Software,AK1096,26,Smart Education
"National Institute for Empowerment of Persons with Multiple Disabilities (NIEPMD), Ministry of Social Justice & Empowerment.","""Simplifying Attendance during Examination & Evaluation process through Online tracking process.""",Software,NR1097,22,Smart Automation
"National Institute for Empowerment of Persons with Multiple Disabilities (NIEPMD), Ministry of Social Justice & Empowerment.","""Surveillance of HRD student trainees in Campus & Hostel Campus to regulate In & Out Movements.""",Software,NR1098,31,Smart Automation
"National Institute for Empowerment of Persons with Multiple Disabilities (NIEPMD), Ministry of Social Justice & Empowerment.","""To automate and compute the detection of possible vulnerability to Depression before its onset""",Software,NR1099,26,MedTech / BioTech / HealthTech
North Eastern Cane and Bamboo Development Council (NECBDC).,Development of Dynamic website of NECBDC,Software,MG1100,36,Smart Automation
North Eastern Cane and Bamboo Development Council (NECBDC).,Explaining the famous products of NER,Software,MG1101,9,Smart Automation
North Eastern Cane and Bamboo Development Council (NECBDC).,lnformation regarding activities of various in Ministries / Department in NER,Software,MG1102,7,Smart Automation
North Eastern Cane and Bamboo Development Council (NECBDC).,Skill Development training for unemployed youths of NER,Software,MG1103,11,Smart Automation
"Department of Telecommunications (DoT), Ministry of Communications.",Solution to identify spoofed call received by General public.,Software,RK1104,6,Miscellaneous
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Prohibited substances and Therapeutic Use Exception (TUE) for sportspersons. TUE is granted if the drugs have been prescribed by an authorized doctor to the athlete.,Software,AK1105,23,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Anti doping awareness cum sensitization through Gaming App,Software,AK1106,13,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Promoting Fitness through Gamification,Software,AK1107,44,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Use AR/VR to improve athlete performance,Software,AK1108,22,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Wearable sensors for Sports Biomechanics Application,Hardware,AK1109,36,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Creation of a GIS-based National Inventory of Sports Infrastructure,Software,AK1110,12,Fitness & Sports
"Department of Sports (DoS), Ministry of Youth Affairs & Sports.",Digitalisation of the application process for sports infrastructure under Khelo India Scheme,Software,AK1111,23,Fitness & Sports
"Central Water Commission (CWC), Ministry of Jal Shakti",Drought Information and Management,Software,RK1112,9,"Agriculture, FoodTech & Rural Development"
"Central Water Commission (CWC), Ministry of Jal Shakti",Water Availability based Crop-specific,Software,RK1113,40,"Agriculture, FoodTech & Rural Development"
"Central Ground Water Board (CGWB), Ministry of Jal Shakti",User friendly data visualization tool for interpretation of groundwater isotope data,Software,RK1114,13,"Agriculture, FoodTech & Rural Development"
"Central Ground Water Board (CGWB), Ministry of Jal Shakti","Standalone desktop application for analysis, visualization and interpretation of hydro chemical data.",Software,RK1115,5,"Agriculture, FoodTech & Rural Development"
"National Water Mission (NWM), Ministry of Jal Shakti",Use of digital technology or making physical prototype for micro irrigation system to improve Water Use Efficiency of Irrigation sector.,Hardware,RK1116,84,"Agriculture, FoodTech & Rural Development"
"National Water Mission (NWM), Ministry of Jal Shakti",Need to develop digitally the dynamic model to integrate the impact of climate change (CC) indicators with assessment of vulnerability and adaptation at localized scale for agriculture sector,Software,RK1117,9,"Agriculture, FoodTech & Rural Development"
"National Mission for Clean Ganga (NMCG), Ministry of Jal Shakti",Develop a digital platform for assimilating data of operational performance of existing STPs/ CETPs/ ETPs through creation of data exchange interface and flashing messages against defaults Problem Statements:,Software,RK1118,4,"Agriculture, FoodTech & Rural Development"
Ministry of Chemicals and Fertilizers,Statistics and Monitoring Web Application to capture Online,Software,PN1119,7,"Agriculture, FoodTech & Rural Development"
"Ministry of Micro, Small & Medium Enterprises (MSME).",IoT based sensors can be used to determine the Machine Runtime,Software,RK1120,18,Smart Automation
"Ministry of Micro, Small & Medium Enterprises (MSME).",Developing Virtual Reality based solutions,Software,RK1121,19,Smart Education
"Ministry of Micro, Small & Medium Enterprises (MSME).",Development of business models for collection and utilization of single use plastics and various other industrial wastes,Software,RK1122,19,Clean & Green Technology
"Ministry of Micro, Small & Medium Enterprises (MSME).",Integration & Utilization of data-based being maintained by various Ministries/ Departments for better utilization of raw materials and production capacity.,Software,RK1123,5,Miscellaneous
"Ministry of Micro, Small & Medium Enterprises (MSME).",Development of Technology for manufacturing of mind control BIONIC hand with a sense of touch,Hardware,RK1124,25,MedTech / BioTech / HealthTech
"Ministry of Micro, Small & Medium Enterprises (MSME).",Uncontrolled growth of water hyacinth in lakes.,Hardware,RK1125,37,MedTech / BioTech / HealthTech
"Ministry of Micro, Small & Medium Enterprises (MSME).","Disposal/Recycle of Covid-19 related items such as Mask, Sanitizer, face cover etc.",Hardware,RK1126,50,MedTech / BioTech / HealthTech
"Ministry of Micro, Small & Medium Enterprises (MSME).",Water logging in almost all major cities despite having drainage system in place,Hardware,RK1127,51,Clean & Green Technology
"Ministry of Micro, Small & Medium Enterprises (MSME).",App-Based Solution to provide market access to micro & small enterprises.,Software,RK1128,32,Clean & Green Technology
"Ministry of Micro, Small & Medium Enterprises (MSME).",App-Based solution to identify & solve disease in plants/crops,Software,RK1129,76,"Agriculture, FoodTech & Rural Development"
"Ministry of Ports, Shipping & Waterways","Smart fuel consumption monitoring system for tugs, boats & dredgers.",Software,AK1130,8,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways","Logistics cost optimization through data analytics on various data of PCS, Customs & GSTN",Software,AK1131,4,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways",Automation of port processes to improve port handling efficiency and reduce errors,Hardware,AK1132,10,Smart Automation
"Ministry of Ports, Shipping & Waterways",Technology solutions for decarbonization of maritime industry as per IMO CHG startegy,Hardware,AK1133,12,Clean & Green Technology
"Ministry of Ports, Shipping & Waterways",Advance simulators for providing real-time situations training,Hardware,AK1134,11,Robotics and Drones
"Ministry of Ports, Shipping & Waterways",Teechnology solutions for enhanced Maritime Security,Hardware,AK1135,26,Robotics and Drones
"Ministry of Ports, Shipping & Waterways",Green Transformation of ports to achieve Net Zero Carbon Emissions,Hardware,AK1136,24,Clean & Green Technology
"Ministry of Ports, Shipping & Waterways",Air Quality Index for Major Port,Hardware,AK1137,20,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways",Creation of single source platform for vessel registration and sea farers license.,Software,AK1138,6,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways",Common EDI Mode for all the Ports and Terminals,Software,AK1139,4,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways",Common Gate In Process and Transport Module for all Ports and Terminal.,Software,AK1140,3,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways","Common Platform for Ports, Terminals and other Custodians.",Software,AK1141,3,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways",Lack of uniform GIS system at Ports,Software,AK1142,5,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways",Need for uniform Document Management System across Ports,Software,AK1143,6,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways","Standardization, Integration of Ports documents and processes",Software,AK1144,4,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways",Adoption of Technology and best practices,Software,AK1145,5,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways","Detecting Covid-19 (using face recognition) suspects in crowd, at the school/office Building entrance along with their attendance and other alerts.",Software,AK1146,33,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways",Improvement of Portal for Asset and Navigational Information (PANI) Portal.,Software,AK1147,3,Transportation & Logistics
"Ministry of Ports, Shipping & Waterways",IMPROVEMENT OF CAR-D PORTAL,Software,AK1148,5,Transportation & Logistics
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).",To develop positive emotions among students across all age group for holistic development and well-being.,Software,KH1149,14,Smart Education
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).","To promote self-care among students and to enhance the overall well-being including mental, physical and social health.",Software,KH1150,26,Smart Education
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).",To develop and maintain a healthy digital routine for the overall wellbeing of self and others.,Software,KH1151,6,Miscellaneous
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).",To develop mindfulness and promote well-being among students across ages.,Software,KH1152,7,Miscellaneous
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).",To develop assertiveness and negotiation to deal with life’s challenges effectively,Software,KH1153,8,Smart Education
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).",To strengthen the skills for managing negative emotions of self and others effectively.,Software,KH1154,9,Miscellaneous
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).",To maintain and enjoy healthy relationships with others.,Software,KH1155,9,Miscellaneous
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).",To enhance concentration among students for better performance in the given task.,Software,KH1156,24,Smart Education
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).",To develop self-awareness to realize the full potential for holistic functioning of students across age groups.,Software,KH1157,8,Miscellaneous
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).",To develop a sense of accomplishment to make life more meaningful / purposeful.,Software,KH1158,9,Smart Education
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).",To develop collaboration and cooperation among students across all age groups to increase group bonding and enhance social skills such as pro social behavior and good interpersonal relationships.,Software,KH1159,11,Miscellaneous
"National Council of Educational Research and Training (NCERT), Department of School Education & Literacy (DoSEL).",To develop one’s ability to manage time for relevant aspects of one’s life,Software,KH1160,24,Smart Education
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Device an alternatives method for OTP based authentication in areas with weak mobile signal.,Software,NR1162,31,Miscellaneous
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Developing a solution for the Identification and rendering of human faces in videos on real time the basis,Software,NR1163,33,Smart Automation
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Device an E-waste management system technologically efficient and eco friendly.,Software,NR1164,15,Smart Automation
"Defence Research and Development Organisation (DRDO), Ministry of Defence.","Solution to Identify Drones through CCTV feeds installed at houses, roads etc.",Software,NR1165,43,Miscellaneous
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Develop an application for Natural Language Processing (NLP) technology solutions for mass-effective conceptual learning and education in vernacular languages (in mother-tongues),Software,NR1166,12,Smart Education
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Developing a solution for Gesture enabled commands for operating Laptops/PCs for frequently used operations on daily basis.,Software,NR1167,72,Smart Automation
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Develop Solution/Application to regulate Private health care sector in India from exploiting people during medical emergencies and pandemic situations.,Software,NR1168,96,MedTech / BioTech / HealthTech
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Device an application to monitor Humans health issues due to increased usage of pesticides in agriculture and unethical means adopted by food processing industries,Software,NR1169,13,"Agriculture, FoodTech & Rural Development"
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Jelly Bots - develop a device/solution to save he life of prople drowning at beaches in tourist destination.,Software,NR1170,9,Disaster Management
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Develop a drone based Ambulances system to avert the challenges faced on ground during golden hour reaction time.,Hardware,NR1171,77,Robotics and Drones
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Develop a system to enable Speed reading based on Mindfulness meditation,Software,NR1172,8,Miscellaneous
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Speed measurement of autonomous underwater vehicles,Software,NR1173,7,Smart Automation
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Develop a smart system for inferences and suggestive approach for the cases with similar dependencies during judgement.,Software,NR1174,10,Miscellaneous
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Develop a simple but effective Tele-consultation application for farmers to fecilitate agriculture,Software,NR1175,44,"Agriculture, FoodTech & Rural Development"
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Develop a monitoring system for the Electrical Grid in the obscure terrain.,Software,NR1176,8,Disaster Management
"Defence Research and Development Organisation (DRDO), Ministry of Defence.",Develop a smart application to Monitor the health of roads and trigger the reports to concern authorities for maintenance,Software,NR1177,31,Transportation & Logistics
"Startup India Section, Department for Promotion of Industry and Internal Trade (DPIT), Ministry of Commerce and Industry.",Develop an application for the effective mentorship of the entrepreneurial activities in country.,Software,KK1178,20,Miscellaneous
"Startup India Section, Department for Promotion of Industry and Internal Trade (DPIT), Ministry of Commerce and Industry.",Develop an application to aid end users to get Geographic Indicators for their product.,Software,KK1179,6,"Agriculture, FoodTech & Rural Development"
"Startup India Section, Department for Promotion of Industry and Internal Trade (DPIT), Ministry of Commerce and Industry.",Develop a platform to support One District One Product (ODOP) initiative,Software,KK1180,26,"Agriculture, FoodTech & Rural Development"
"Startup India Section, Department for Promotion of Industry and Internal Trade (DPIT), Ministry of Commerce and Industry.",Develop an application to facilitate IPR filing for the grassroots community.,Software,KK1181,7,"Agriculture, FoodTech & Rural Development"
"Startup India Section, Department for Promotion of Industry and Internal Trade (DPIT), Ministry of Commerce and Industry.",Shared usage of workshops and labs by all Educational Institutions at National Level,Software,KK1182,22,Smart Education
"Startup India Section, Department for Promotion of Industry and Internal Trade (DPIT), Ministry of Commerce and Industry.",Deveolp an apllication to Ensure security in digital payments while promoting ease of doing business payments,Software,KK1183,8,Miscellaneous
"Startup India Section, Department for Promotion of Industry and Internal Trade (DPIT), Ministry of Commerce and Industry.","Development of technologies, in mold making, electronics and specific paints.",Software,KK1184,2,Miscellaneous
"Dairy Division, Department of Animal Husbandry & Dairying, Ministry of Fisheries, Animal Husbandry & Dairying",Quality assurance & traceability of milk supplied by unorganized sector,Software,DV1185,12,"Agriculture, FoodTech & Rural Development"
"Dairy Division, Department of Animal Husbandry & Dairying, Ministry of Fisheries, Animal Husbandry & Dairying",Milk pasteurization other than heat treatment,Hardware,DV1186,37,"Agriculture, FoodTech & Rural Development"
"Dairy Division, Department of Animal Husbandry & Dairying, Ministry of Fisheries, Animal Husbandry & Dairying",Develop an innovative solution to conversion of excess milk to usable products,Hardware,DV1187,27,"Agriculture, FoodTech & Rural Development"
"Dairy Division, Department of Animal Husbandry & Dairying, Ministry of Fisheries, Animal Husbandry & Dairying",Portable & Smart Packing system with quality check framework,Hardware,DV1188,28,"Agriculture, FoodTech & Rural Development"
"Swachh Bharat Mission (Grameen), Department of Drinking Water & Sanitation, Ministry of Jal Shakti",Waste Management System,Hardware,ML1189,125,Clean & Green Technology
"Swachh Bharat Mission (Grameen), Department of Drinking Water & Sanitation, Ministry of Jal Shakti",Rapid decomposition of waste in rural areas,Hardware,ML1190,48,Miscellaneous
Volvo,Fault tracing of wiring harnesses -Could this be combined with AR,Hardware,SK1204,28,Smart Automation
Volvo,How to avoid median accidents : Invisible center medians cause a huge number of accidents in India.,Hardware,SK1205,118,Smart Vehicles
Volvo,Solutions to detect air quality inside the cabin and improve it.,Hardware,SK1206,105,Transportation & Logistics
"Department of Post, Ministry of Post",Digital Access Code generation and use for Address tracking,Software,AK1207,20,Smart Automation
"eCourts, Department of Justice, Ministry of Law & Justice","""Require Automated Smart Data Collection System. """,Software,AK1209,7,Miscellaneous
"eCourts, Department of Justice, Ministry of Law & Justice",Monitoring & optimization of Bandwidth provisioned to the court complexes,Software,AK1210,4,Miscellaneous
"eCourts, Department of Justice, Ministry of Law & Justice",Devlop a Software for Categorization of cases.,Software,AK1211,24,Miscellaneous
"eCourts, Department of Justice, Ministry of Law & Justice",Devlop a Software for Keyword based retrieval of judgements,Software,AK1212,17,Miscellaneous
"eCourts, Department of Justice, Ministry of Law & Justice",Training of all levels of court staff on PAN India basis,Software,AK1213,6,Miscellaneous
"eCourts, Department of Justice, Ministry of Law & Justice",Composite database for cases filed at all levels of judiciary and tribunals,Software,AK1214,6,Miscellaneous
"eCourts, Department of Justice, Ministry of Law & Justice",Devlop a Software for Data Security & Data Secrecy.,Software,AK1215,10,Miscellaneous
"NIFTEM Thanjavur ,Ministry of Food Processing Industries (MoFPI)",IoT enabled risk monitoring svstem in Cold Suppll Chain,Hardware,MA1216,45,Smart Automation
"NIFTEM Thanjavur ,Ministry of Food Processing Industries (MoFPI)",Block chain application for tagging farm produces,Hardware,MA1217,22,Blockchain & Cybersecurity
"NIFTEM Thanjavur ,Ministry of Food Processing Industries (MoFPI)",To provide solution for entire year commercial solar drying of food commodities.,Hardware,MA1218,34,Clean & Green Technology
"NIFTEM Thanjavur ,Ministry of Food Processing Industries (MoFPI)",smart and sustainable supply chain,Hardware,MA1219,18,Clean & Green Technology
"Department of Food & Public Distribution, Ministry of Consumer Affairs Food and Public Distribution","""Scientific method for determining age Agriculture and Food & of boiled rice """,Hardware,VA1220,18,"Agriculture, FoodTech & Rural Development"
"Department of Food & Public Distribution, Ministry of Consumer Affairs Food and Public Distribution","Artificial Intelligence enabled Agriculture, Food and Public Robotic stacker for mechanized Distribution Loading/Unloading of foodgrain",Hardware,VA1221,42,"Agriculture, FoodTech & Rural Development"
"eCourts, Department of Justice, Ministry of Law & Justice","Department of Justice, Ministry of law & Justice.",Software,AK1222,6,Miscellaneous
"Policy Planning Cell, Ministry of Information & Broadcasting","An online website and app based solution that compares various requirements for Government jobs, as are advertised in the Employment News weekly published by Publications Division with various fields (such as age, qualifications, etc.) of the Curriculum Vitae of job-seekers across the country, and provides them real-time updates on available Government jobs. The mechanism may be expanded to cover all Government jobs advertised in States and UTs in future.",Software,NS1223,37,Smart Automation
"Policy Planning Cell, Ministry of Information & Broadcasting","An AI/ML based solution for flagging of false information related to the Union Government on online platforms, including social media platforms. Such a system may utilize the authentic information available through official sources such as documents, press releases, etc.",Software,NS1224,23,Blockchain & Cybersecurity
"Policy Planning Cell, Ministry of Information & Broadcasting","A statistical model for objective determination of outdoor advertising rates at key locations in India on the basis of factors such as footfall/viewership, demographic profile of the target audience at a particular location, existing rates, etc.",Software,NS1225,6,Smart Automation
"Policy Planning Cell, Ministry of Information & Broadcasting","Dashboard for real-time indication of the online media (on websites) and social media (on social media platforms) activities of the media units. Such a dashboard may provide quantitative information such as real-time statistical summaries in terms of engagements, posts, etc. on social media; and qualitative information such as the range of key topics on which information is disseminated.",Software,NS1226,11,Smart Automation
"Policy Planning Cell, Ministry of Information & Broadcasting","An Augmented Reality (AR) based solution for online accessibility of key events such as Republic Day parade, Independence Day celebrations, film festivals, exhibitions, sound and light shows, etc. as immersive experiences for the citizens.",Software,NS1227,6,Smart Automation
"Policy Planning Cell, Ministry of Information & Broadcasting","An online tracking mechanism for identification of websites/apps infringing copyrights of the content producers such as broadcasters, OTT platforms, etc.",Software,NS1228,9,Blockchain & Cybersecurity
"Policy Planning Cell, Ministry of Information & Broadcasting",A mobile app for PIB with engaging features for direct outreach to the people.,Software,NS1229,15,Smart Automation
"Policy Planning Cell, Ministry of Information & Broadcasting","An AI/ML based solution that generates short summaries of press releases for easy and more targeted dissemination of information to the people. Such a TL,DR (Too Long, Didn’t Read) software may be integrated in an app-based solution.",Software,NS1230,23,Smart Automation
"Policy Planning Cell, Ministry of Information & Broadcasting","A solution for identification of India-based news websites, and YouTube based news channels.",Software,NS1231,6,Blockchain & Cybersecurity
"Policy Planning Cell, Ministry of Information & Broadcasting",A solution for identification of news items and videos on the internet which are inimical to the sovereignty of India.,Software,NS1232,7,Blockchain & Cybersecurity
Autodesk India Pvt. Ltd.,Smart Manufacturing,Hardware,AV1235,41,Smart Automation
Bajaj Finserv Health,"Build an application that can calculate SpO2, Blood Pressure, Stress or any other possible body vitals using a Smartphone. Applications that can help do screening for any conditions for people to take a decision to do a Dr consultation are also welcome.",Software,SS1236,40,MedTech / BioTech / HealthTech
Bajaj Finserv Health,Gamification for Awareness and Coverage Need for comprehensive Health Insurance that covers OPD and Lab,Software,SS1237,8,MedTech / BioTech / HealthTech
"Communication and Information service, MHA",Require Crime Predictive model/tool for hotspot mapping,Software,RV1238,16,Blockchain & Cybersecurity
"Communication and Information service, MHA",Layering of Bank accounts,Software,RV1239,7,Miscellaneous
"Communication and Information service, MHA",Creating Application for Mobile Phones,Software,RV1240,18,Blockchain & Cybersecurity
"NATGRID, MHA","Build a solution around generation of short and appropriate abstraction based summary from articles from web and local documents on a specific domain e.g. political, sports of current affairs. It is suggested to avoid generating extractive summarization.",Software,RV1241,13,Blockchain & Cybersecurity
"NATGRID, MHA","Build a solution that shall enable authentication using fingerprint, such as the one available on some of the smart phones that is able to determine fake or real fingerprint.",Software,RV1242,18,Blockchain & Cybersecurity
"NATGRID, MHA",Build a solution that is able to undertake Optical Character Recognition (OCR) on handwritten text in Hindi language. The result should be the equivalent text typed in Hindi with over ~70% accuracy. Solution must address issues such as non-standard ways of writing and poor handwriting.,Software,RV1243,17,Blockchain & Cybersecurity
"NATGRID, MHA",Develop an IT enabled framework/mechanism through which a person can give tip-off about any suspicious activity/ crime to the authorities.,Software,RV1244,48,Blockchain & Cybersecurity
"ITBP, MHA","""Devlop an System to identity transgression though sensors & electronics devices, Camera etc. """,Hardware,RV1245,21,Blockchain & Cybersecurity
"ITBP, MHA","""Require Drones based surveillance of the Open border in Vulnerable Gaps and areas """,Hardware,RV1246,72,Robotics and Drones
"ITBP, MHA",Infrastructurel Accommodation/Electricity! Potable Water at forward locations,Hardware,RV1247,11,Disaster Management
"ITBP, MHA",Good quality of food/fresh food which can be stored using latest technology,Hardware,RV1248,17,Disaster Management
"ITBP, MHA",All weather good quality clothing for troops,Hardware,RV1249,7,Disaster Management
"ITBP, MHA",Devlop a Ready to use first aid kits,Hardware,RV1250,19,Disaster Management
"ITBP, MHA",Indigenous monitoring receiver,Hardware,RV1251,14,Smart Automation
"Cyber Crime Unit, Special Cell, Delhi Police, MHA","Develop a Mobile App through which a citizen can check whether an unattended child is a missing child from 'Track the missing child' database of WCD Ministry using Facial Recognition Software of Delhi Police """,Software,RV1252,53,Blockchain & Cybersecurity
"Cyber Crime Unit, Special Cell, Delhi Police, MHA","Al based solution for predicting major law & order incidents: The solution should be able to use inputs such as: PCR Call key words, Time of call, location, month, calendar of festivals/political events, community involved, distribution of similar PCR Calls, etc. to allow Command Room officers to icators of serious law & order issue at the very initial stages for timely intervention",Software,RV1253,9,Blockchain & Cybersecurity
"Cyber Crime Unit, Special Cell, Delhi Police, MHA","""Anti-Drone Instant Deployment Discreet Shield for VIP Protection in public places """,Hardware,RV1254,39,Robotics and Drones
"Cyber Crime Unit, Special Cell, Delhi Police, MHA","""Bluetooth based device for integrating Wireless WT Sets with Smart phones through an App. """,Software,RV1255,12,Smart Automation
"Cyber Crime Unit, Special Cell, Delhi Police, MHA","""Speech to Text App customized for police functioning in different languages. """,Software,RV1256,34,Blockchain & Cybersecurity
"Cyber Crime Unit, Special Cell, Delhi Police, MHA","""Portable Stabilized Buoyancy Platform for aerial surveillance of large public arrangements. """,Hardware,RV1257,12,Blockchain & Cybersecurity
"Cyber Crime Unit, Special Cell, Delhi Police, MHA","""Secure wireless controller for hand-held remote operation of Traffic signals in peak hours """,Hardware,RV1258,94,Smart Vehicles
"Cyber Crime Unit, Special Cell, Delhi Police, MHA","Technology demonstration of digital stamping of electronic communication/message to know its origin, date, time and spread",Software,RV1259,16,Blockchain & Cybersecurity
"Dell Technologies, Bangalore, India.",Interpreting Doctors notes using handwriting recognition and Deep Learning techniques,Software,UP1261,51,MedTech / BioTech / HealthTech
"Dell Technologies, Bangalore, India.",Conversational Chatbot Builder - Smarter Virtual Assistants with Domain specific AI,Software,UP1262,40,Smart Automation
GE Healthcare,Design and develop a wireless pod and disposable patch that is gentler on a newborn’s fragile skin and allow for more skin-to-skin contact with the parent.,Hardware,UP1263,21,MedTech / BioTech / HealthTech
"Department of Food & Public Distribution, Ministry of Consumer Affairs Food and Public Distribution",Optimal design of Silo for bulk storage of Rice,Software,VA1264,29,"Agriculture, FoodTech & Rural Development"
