Organization,Problem Statement Title,Problem Statement Description,Category,PS Number,Submitted Idea(s) Count,Domain Bucket
International Council for Circular Economy (ICCE).,Using food waste as consumable organic resource,"In Southeast Asia, food waste is discharged daily from factories, restaurants, supermarkets, etc. This waste has potential to be reused as an organic resource providing it can be transformed with the correct technology. Collection of the food waste from such areas and categorizing them to what they can be used into is a major task for this problem statement.It is found that there is discharge of food waste daily from various types of places i.e. restaurants, factories, supermarkets etc. Most of this food waste are either dumped or destroyed by some means. We want this food waste to be reused in such a manner that it can be helpful for the society. Food waste reusability can highly boost the economical sector of the country.We are looking for ideas to reuse food waste as a consumable organic resource or ideas in Digital management or Effective Use of Waste Material for the Food and Beverage Industry(e.g. Factory, Restaurant, Supermarket, Warehouse, Building and so on) and its supply chain. Some issues which could be tackled under this category include, but are not restricted to, the following: Biogas power generation, Compost, Transforming food waste into animal feed.",Software,SG866,34,Clean & Green Technology
International Council for Circular Economy (ICCE).,Tracking of food waste for productive usage,"The principles of the circular economy on the farming system ensure that important nutrients are returned to the soil through anaerobic processes or composting, which softens the exploitation of land and natural ecosystems. In this way, as “waste” is returned to the soil, besides having fewer residues to deal with, the soil gets healthier and more resilient, allowing a greater balance in the ecosystems that surround it. As well, since soil degradation costs an estimated US$40 billion annually worldwide, and has hidden costs such as the increase of fertilizer use, loss of biodiversity and loss of unique landscapes – a circular economy could prove to be really useful for both the soils and the economy. A circular economy model in food systems has the potential to decrease 80% of the use of artificial fertilizer and therefore contributing to the natural balance of soils, according to a study.Most of the waste food that is being generated is dumped in landfills. This was we are losing the opportunity to use the food waste in more better things such as creating organic fertilizers or biogas. Hence tracking this food waste can help in bringing out more productivity to the waste that is being generated.Tracking food waste can help divert it from entering the landfill towards more productive usage. We need you to use modern generation M.L based techniques to track out the amount of food waste and categories them on how and which sectors we can use that waste for more productive areas.",Software,SG867,40,Clean & Green Technology
Ministry of Mines,Grade-wise iron-ore accounting from mines to end-points to prevent loss of revenue to the state,"Due to underestimation and misidentification of the various grades of minerals, the economic development becomes stuck.Varied grades of the same material have different prices, royalty rates, and customs taxes. Producers have been known to misclassify one grade for another to pay a reduced royalty fee for that grade. State governments lose revenue as a result of this. Exporters have also been known to misclassify a grade with a higher export duty as a grade with a lower export charge. To take advantage of export duty differentials, exporters frequently misclassify iron ore (export duty 30%) as iron ore pellet (export duty 5%). The state suffers a revenue loss as a result of this. The state suffers a revenue loss as a result of this. The employment of advanced technology to distinguish between different grades of the same materials (e.g., different grades of iron ore, pellets) will be extremely valuable in preventing system leakages. Furthermore, a smart system that monitors or accounts for the transport/ movement of various grades of minerals from mines to endpoints such as processing units/factories and/or ports will aid in the prevention of leakages. To develop innovative technology to analyze the various levels of mines while also ensuring the tracking of raw minerals from mines to endpoints.",Software,SS868,3,Miscellaneous
Ministry of Mines,"""Interpretation of geological, geochemical, and geophysical dataset using ML/AI to carve out new mineral potential areas.""","Mineral locations become more difficult to locate in geo-locations. Despite the existence of traditional means, the process of seeking is still not faster.Finding economically viable mineral reserves has become increasingly difficult. The iterative process of collecting various datasets, followed by geological interpretation, might take a long period during exploration. Massive volumes of data are gathered and analyzed, frequently with no notable mineral discoveries. As a result, explorers are looking for novel tactics and processes that will increase finding rates and shorten the exploration life cycle. Using traditional approaches, possible mineral resources are now identified by overlaying numerous layers of geoscientific data in GIS software. However, with AI and machine learning (ML) breakthroughs, complex data analysis with optimal resource use may be possible. The present statement's problems include leveraging the country's accessible geological datasets and delivering AI/ML solutions for mineral exploration through the construction of metallogenic models. For better mineral exploration, participants can create AI-based mining exploration models by combining geological, geographical, and geophysical data. The Geological Survey of India's BHUKOSH portal contains a variety of geological datasets. These metallogenic models will aid in the identification of probable exploration hotspots. To develop an AI-based solution based on machine learning and datasets for identifying new mineral prospective locations to speed up the process.",Software,SS869,5,Miscellaneous
Government of Maharashtra.,"How to use Aadhaar number of students to identify fake enrolment, duplication and authentication of students.","""Every year huge number of students take admissions into college. With the current covid crisis ongoing, almost all the process have become online. Even classes have become online. It was observed that there were students who did fake enrollments while filling forms of a college for exams, online classes or similar purposes. Also online mischief was done by many students thus disturbing the whole class. Same happens with online exams happening with google forms. Since making fake Gmail id is not a big deal for kids of today’s generation hence often fake entries were found which caused lots of issues to teachers evaluating the answers. Hence we need to keep a Aadhar based authentication for students for filling up forms, giving examination or attending online classes. Addressing this problem will ensure only students authenticated with their Aadhar are only permitted to fill forms, attend online classes and give exams thus ensuring the tracking of students. Due to this only genuine entries will be there and any mischief done will be caught easily.""",Software,OS870,55,Smart Education
Government of Maharashtra.,Attendance systems for students of government aided schools.,"""Every year number of students take admissions into government aided schools. Currently the attendance system for the students is done manually. Hence requirement of a robust and low-cost system is needed. Addressing this problem will ensure the proper attendance and will help teachers in taking attendance.""",Software,OS871,125,Smart Education
Government of Maharashtra.,Real time tracking of students learning’s outcomes and their academic progress across schools.,Currently in schools teachers perform manual work to prepare and track students learning’s outcome through report cards. This is the standard procedure done manually throughout the country. Often it is observed that students are also good in co-curricular activities and being good in academics is not the only way ahead. In current situation it is not possible for a teacher to pay attention to every student and find out the best in a child. Hence there is a need to develop solutions to track all activities of a student including the academic progress in real-time. Innovation in this domain will be appreciated to develop systems which automatically reads the students progress and generates feedback also is a good way to proceed.,Software,OS872,68,Smart Education
Government of Maharashtra.,"Teachers (From Recruitment, posting to entire duration of their service as teachers) Management System",Every year through the government exams plenty of teachers are hired and posted in various government schools. The tracking of teachers from recruitment to their entire service duration is done manually which makes it difficult to manage and keep track. Addressing this problem will give government the ease of managing teachers through one single portal which will help in maintaining clear stats of the teachers currently posted.,Software,OS873,51,Smart Education
Ministry of Skill Development and Entrepreneurship (MSDE).,"""There is a need to create an engaging, supportive alumni network which is crucial to an institutions /organizations success. Currently, there is no mechanism for the Directorate to keep a track of the trainees passing out year by year.""","There is a need to create an engaging, supportive alumni network which is crucial to an institutions /organizations success. Currently, there is no mechanism for the Directorate to keep a track of the trainees passing out year by year. This online portal will provide a platform where all the students can interact and help each other by hand-holding in self-employment as well as other job opportunities in the industries The said application should have the following features:- (a) allow the Alumni members to register themselves (b) allow MSDE institutes to verify and authenticate their registered alumni (c) provision for alumni members to update their details (d) allow the NSTIs to search details based on criteria such as year, trade, etc. (e) allow the Directorate/Industries to search details based on criteria such as institute, year, trade etc. (f) send messages and emails to alumni members (g) group chats, create events, publish notices on the portal Such platform will benefit: (i). DGT : Tracer study of alumni whether they are employed in industries, engaged as instructors, self employed, entrepreneurship, any further trainings undergone etc. (ii). For Industries: They may find the best skilled personal relevant to their sector and needs (iii). For Alumni: better job opportunities, career building, workshops/programs post their training programs. There should be central dashboard to maintain all the activity with detail log report.",Software,DB874,47,Smart Education
Ministry of Skill Development and Entrepreneurship (MSDE).,Development of a One Stop Platform for budding entrepreneurs for Overall Support:,"""Development of a One Stop Platform for budding entrepreneurs for Overall Support: (a) For Counselling/ Guidance (b) For Idea validation (c) For Connect with Incubators/ Accelerators (d) For connect with industry mentors ideally who run businesses, for project or Start-up related discussions. Connect to interested private sector (individuals, organization) willing to provide funding support as well as invest in these enterprises. (e) For registration of the company (f) For mentoring and handholding of new enterprises in Tier I & II as well as villages in India. (g) Financial linkages with various Govt. Sponsored Schemes (h) Linkage with Investor/ Funding Agencies /Banks (i) Identify markets and provide market linkage for products and service, with provision for transaction between parties through the same platform. (j) For connect with Suppliers (k) Linkage with Required Human Resources (l) For Legal and Statutory Compliances for ease of starting business (m) For escort services (n) Policy guidance (o) Making vocal the local products (advertisement guideline guidance) (p) Connect with pool of skilled labourers for the production/ service generation for the business. (q) Linkage with various Government sponsored schemes for finance, loans. Need for Solution : An integrated platform for guiding aspiring entrepreneurs, idea nurturing, connecting with incubators, extending mentoring and handholding support, creating financial and marketing linkages and complying with legal and statutory compliances for starting business. This single window platform for entrepreneurs will bring all the stakeholders under one umbrella (a platform ) i.e. under the entrepreneurship division of MSDE.""",Software,DB875,38,Smart Education
Ministry of Skill Development and Entrepreneurship (MSDE).,AI Based Platform for Students,"""Every aspiring entrepreneur’s often asked question, what business do I start? Need for Solution: A lot of businesses fail because they are made without accurate market information and future potential. Sustainable enterprises can only flourish in a sector that potential for growth. An overwhelming number of aspiring entrepreneurs do not have this information or data about which industry to choose to start business in. There is a need for case analysis and data on sectors to start business that has potential, growth prospect and can be sustainable.""",Software,DB876,20,Smart Education
Ministry of Skill Development and Entrepreneurship (MSDE).,AI Based platform for start-up validation and support,"""Nano and micro enterprises suffer from a number of fundamental challenges, including viable idea generation, lack of capital, few assets for collateral, poor credit history, lack of competences, and limited support networks. Engaging in sustainable entrepreneurial activities can help entrepreneurs in low-income settings develop more innovative products and services, targeting less price sensitive customer segments. How the technology intervention can help in building competency among such small-scale enterprises in ideation, validation and its execution. Need: Technology driven tool for ideation, validation and execution.""",Software,DB878,11,Smart Education
Ministry of Skill Development and Entrepreneurship (MSDE).,AI BASED PLATFORM for entrepreneurs for decision making process,"""Traditional artisans/ entrepreneurs do not get right price as customers are unable to make a distinction about the uniqueness of the product (for example hand-based product or loom product) Need for Solution: There is a need for AI based tool that can differentiate between different products, such from hand-based product to machine/ loom product or speciality of a particular region. Such a tool can help aspiring entrepreneurs with market intelligence of suitable business ideas to choose from, existing potential as well as competition and also prediction of growth for any particular sector etc""",Software,DB879,9,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,Artificial Intelligence Based mobile application for the workers and website based admin tool for management.,"""Due to COVID it is tough for one to find a job in nearby area due to certain factors like migration, skill mismatch, lack of proper knowledge about the channels that matches employee and employer. In the age of Digital era you may still find that there are various labour chowks and people come here in the morning and get hired by various construction contractors on a daily basis for the construction activities. The problem is both way round, when asked to the employer, they told that there are limited platform to find a daily worker and that too are very costly, for the workers, solutions like Urban clap etc are still beyond their knowledge domain. Example: - Ola / uber/ Swiggy etc are also quick match making solution. Impact: A cheaper and easy accessible platform for skill matching. Empowered worker, more employment opportunities.""",Software,DB880,32,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,National Entrepreneurship Internship Exchange,"""An Online National Internship Exchange platform that can be a win-win model, where in NIESBUD can get short term resources for various entrepreneurial services like Business Plan Preparation Assistants, Training Co-coordinator Assistant, Conduct Field – Online – Surveys, Data gathering both from primary and secondary resources, Research Assistants that can help NIESBUD develop effective and efficient programs and services. Need: A bespoke Application development viz National Entrepreneurship Internship Exchange for Hiring, Deployment, Performance Tracking, Assignment Allocation to be developed.""",Software,DB881,8,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,PWD (Divyang) user friendly Entrepreneurship Support & Facilitation Ecosystem,"""Presently there is no Entrepreneurship Toolkit Application (viz Braille / Sign Language/ Speech Recognition software) that can be used by Divyang Entrepreneurs. There is need for a Divyang usable Application that is compatible – downloadable on Smart Phone or I pad or E-Book or Desktop – Laptop, based Entrepreneurship. Need: An integrated Application development that can be accessed by Divyang Entrepreneurs""",Software,DB882,8,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,Entrepreneurship Facilitation Services Processing Centre:,"""There is no Cloud & Social fee based Online Application that can facilitate Entrepreneurs to do their: (a) Day to day accounting – purchases, sales, returns (b) Cash flow (c) Stock taking (d) Budgeting and Forecasting and Variance Analysis (e) Third-party Vendor Management – Invoicing and Payment System leveraging smart payment solutions , receivables management viz AP , AR with OCR enable EIPPS ( Electronic Invoice Presentment and Payment System ) (f) Online Smart Banking – phasing out Manual Cheques, Doing Online Bank Reconciliation (g) XBRL enabled Regulatory reporting Need: A customized Application that can be accessed either as a Licensed version or outsourced to Govt. Owned and Managed Entrepreneurship Facilitation Services Processing Centre.""",Software,DB883,7,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,Analysis of Business of MSME Sector,"How do we predict business outlook for MSME segment by analysing quarterly variations in asset profiles of listed banks/NBFCs? Listed banks report their quarterly business performances in terms of variations in loans disbursements, collections, and NPAs across retail, MSME, Corporate, and Priority Sectors. Can we build a mathematical model which predicts increase/decrease in business activities across these sectors?",Software,DB884,6,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,To start Skill India Helpline (Toll-Free) number,"""At present many students from the Skilling ecosystem (Long term, short term, and Apprentice) face regular problems related to the exam systems in long term training, career guidance after doing short term skilling courses or apprenticeship, entrepreneurship guidance, and other queries related to different verticals of Skill India. Most of the students often struggle to get the relevant information according to their needs due to the lack of technological/digital divide as many students come from weak financial backgrounds. Solution: (Hardware/Software) In view of the above, the Ministry of Skill development may start a common skill India tool-free helpline number to provide all kinds of support to students related to skilling, reskilling, upskilling, and any other grievances which students of the skilling ecosystem faces.""",Software,DB885,6,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,Automatic sign and photo detection from the uplaoded documents by trainees during admissions using Artificial Intelligence and Optical Charater Recognition.,"""Every year lacks of trainees take entrance and annual exams under various schemes under DGT like CTS, CITS etc. These trainees are generally from poor background with below average skills to use computer system. It is found that in many admit cards generated , in place of photo , by mistake they upload their signature and thus they get a faulty admit card. A system may be developed using automatic analysis of uploaded documents to upload and place after AI correct documents at right place in the portal so that this problem of faulty admit cards may be completely resolved.""",Software,DB886,44,Smart Automation
Ministry of Skill Development and Entrepreneurship (MSDE).,"Farming equipment’s are expensive, leveraging unused equipment may add to additional income for the farmers.",Need for Solution: At a given time farmer equipment’s are idle during non-seasons. A platform that allows farmers to rent farming equipment for less during off season. A simple aggregation platform with call centre support can function of booking equipment’s will help farmers make additional income.,Software,DB887,50,Miscellaneous
National Institute of Design Madhya Pradesh,"""Automated feedback system to know the exact location of non-functional streetlights in the rural areas of Central India""","""Good Street lighting systems in rural areas improve road safety, personal security and raise the standard of living. Street lighting also improves safety for drivers, riders, and pedestrians on rural roads, where the road conditions are sometimes not of the desired standards. Streetlights have been installed in many villages and state highways in Central India. However, many times these lights remain non- functional due to late information about the exact location and unavailability of sufficient service support. Consequently, in the absence of proper lighting, some of these areas become unsafe for people at night especially elders, women, and children. An automated feedback system based on a software may allow the service engineers to know the exact location of non-functional streetlights in their areas of responsibility. A solution may be sought from students through this hackathon regarding an automated feedback system.""",Software,ST888,31,Miscellaneous
National Institute of Design Madhya Pradesh,Scarcity of water in hilly areas during summer months.,"""One of the major problems being faced in hill areas is severe scarcity of water during the summer months. Places, which are located in higher reaches and have witnessed rapid increase in population in the last few years often have to face severe shortage of water during summer months. At most places, water supply is received from natural underground water systems. With rapid urbanisation resulting in an increase in concrete surfaces, the water infiltration into ground during the rainy season has considerably decreased over the years. Thus, the natural sources often become insufficient to support the population, which is dependent on them. Large water tanks are often built in these places, where water is pumped from lower areas which are close to a river, lake etc. Water harvesting in these areas is a difficult task due to the rocky surface and restrictions related to blasting etc. A solution may be sought from students through this hackathon to solve the water problem.""",Hardware,ST889,55,Renewable / Sustainable Energy
National Institute of Design Madhya Pradesh,Insufficient medical support system and remote villages in hill areas,"""In the last two decades, there has been rapid migration of the young population from the remote villages in hilly areas to medium and large cities. Consequently, majority of the population in these villages comprises women and old people. Some of these villages are yet to be connected by road and thus do not have even basic health support system. A good health facility having presence of a doctor is sometimes more than 25 km away, which is inconvenient considering that some of the old people are not able to travel large distances. The problem is compounded by the fact that hill areas have severe shortage of doctors. Visits to these villages by health workers remain largely on paper and little meaningful medical support is currently being provided to these old people. During the outbreak of the second wave of COVID 19, people living in some of these areas also contacted the virus. However, there was hardly any medical aid available. A solution may be sought from students through this hackathon to solve the problem of medical support in remote hill areas.""",Software,ST890,50,Robotics and Drones
National Institute of Design Madhya Pradesh,App/portal for tracking/finding of missing persons/children by use of Aadhaar enabled Biometric details:,"""Human trafficking has become a serious global issue of unforeseen proportions of the twenty- first century. By its nature of exploitation, human trafficking has also been increasingly referred to as “modern-day slavery”, and this has prompted rapid proliferation of international, regional, and national anti- trafficking laws, and inspired states to devote enormous financial and bureaucratic resources to its eradication. The Constitution of India, general criminal laws and special laws prohibits and criminalises human trafficking. Article 23 of the constitution of India prohibits trafficking in human being and other similar forms of force labour and pronounce that such acts are offences punishable in accordance with law. Article 24 of the constitution also provides that no child, below the age of 14 years, shall be employed to work in any factory or mine or engaged in any other hazardous employment. It is further provided by the article 37 of the constitution that the state shall direct its policy towards securing that child are given adequate opportunities and facilities to develop in a healthy manner, so that children and the youths are protected against such exploitation. Besides IPC, the Immoral Traffic Prevention Act, 1956, Protection of Children from Sexual Offences Act, 2012, Juvenile Justice (Care and Protection of Children) Act, 2015, the draft Trafficking of Persons (Prevention, Protection, and Rehabilitation) Draft Bill, 2021 are some of the important mechanisms for combating human trafficking. To combat the human trafficking specially child trafficking, an app or government portal linked with Aadhaar biometric information system may be conceptualized for integration of information. The Aadhar enabled data of missing person like photo, age, figure prints may be circulated to all state and district level police authorities through the dedicated portal with limited access to the authorized authorities only. This information may be used by the designated authorities for the search of the missing persons in locality under their jurisdiction. This would help the Police authorities to find the missing persons in their localities with authenticated and integrated information system. Similarly, the address and contact details of parents or relatives can be found by using the Aadhar enabled integrated information system, so created, for the person found by the Police authorities or civil society specially for the children who do not have proper/adequate information for their address/parents. Participants may identify/analyse the problem in detail and propose the solution by developing AI/ML based software/algorithm or conceptualization of idea for problem solution.""",Software,ST891,26,Miscellaneous
National Institute of Design Madhya Pradesh,"""Application based solution for tracking and creating information system for Overloaded Commercial vehicles.""","""Overloading on highways and roads is a serious issue in India, as well as in other developing countries of the world. Although the phenomenon of overloading is not new, so far not much discussion has been done on vehicle overloading in developing countries. It is estimated that about over 50% of commercial vehicles plying on India's national highways and state highways are overloaded. This is particularly serious in the vicinity of mining areas. The legal axle load limits and gross vehicle weight limits are overlooked and violated by the transporters. The problems resulting from overloading are manifold. Newly constructed roads experience accelerated loading conditions resulting in loading to exceed the limits much before their design life is over. This results in premature failure of roads. The maintenance aspect also becomes tricky due to this factor with the consequent fallout as poor condition of roads or heavy maintenance cost required to keep them in shape. Other negative effects of overloading include increased incidences of road accidents, damage to vehicles, lower speeds and inefficiency, delays to vehicular traffic and congestion. Overloading of vehicles is not only detrimental to the economic life of the highways and the roads on which the mechanical vehicles ply but more importantly also leads to larger safety related issues. Hence, there is an urgent need to spread awareness and alarming message to curb this practice. Together with this, methods have to be put in place to identify and catch overloaded vehicles and take strict actions, including heavy penalties and seizure of vehicles. Recently, the Government has mandated the use of Fastag for payment toll collection at all National Highways. Similarly, A mechanism can be developed by installation of electronic weighing machines at all toll plazas on National Highways to prevent and detect overloading of commercial goods transport vehicles. These automated electronic weighing machines would weigh the load of the vehicles and send the recorded reading/information to the toll booth along with fastag details of the vehicle so weighed. The information may be shared with the next toll booth at the highways where the penalties, if any, would levied and deducted from the Fastag balance of the Vehicle. The integrated data of the vehicles can also be collected and maintained for getting the details of vehicle which are usually involve in overloading. The toll plazas are connected with network and are able to exchange vital information about the overloaded vehicles. Application of such methods poses challenges, but output of such methods will be worth the efforts. Participants may identify/analyse the problem in detail and propose the solution by developing AI/ML based software/algorithm or conceptualization of idea for problem solution.""",Software,ST892,17,Smart Automation
National Assessment and Accreditation Council (NAAC).,Assessment of Higher Educational Institutes by NAAC,"""The NATIONAL ASSESSMENT AND ACCREDITATION COUNCIL (NAAC) conducts assessment and accreditation of Higher Educational Institutions (HEI) such as colleges, universities or other recognised institutions to derive an understanding of the 'Quality Status' of the institution. NAAC accreditation identifies the quality of the institute in terms of its education, research, faculty, infrastructure, etc., as well as giving students confidence that they are selecting a quality institution. It gives an institute instant credibility and increases its admissions.The quantitative metrics are sample units of measurements which are done in the evaluation of universities in the Assessment and Accreditation process. The present validation mainly is meant for Quantitative 70% data. The data submitted by institutions is backed up by detailed information in the form of data templates. The validation set of rules and suggestive list of documents are developed in the form of SOP’s on the basis of which third party agency verifies and validate the claims on the data submitted for assessment and accreditation. Process involves multiple levels of verification the time duration involved to complete the DVV process is considerably more. Agencies presently also validate data from other sources such as AISHE, UGC, Funding agencies as well as institutional website. The present process of assessment and Accreditation is a benchmark driven ICT enabled process which involves the following steps 1. Registration: Higher Education Institution (HEI) applying for NAAC Assessment and Accreditation (A&A) process need to register themselves first. Those HEI who have not register on or after July 5th 2017 have to register themselves first through Apply Online Tab available on NAAC portal. 2. IIQA: Eligible HEIs seeking A&A are required to submit Institutional Information for Quality Assessment (IIQA) Online. Duly filled in IIQAs of eligible HEIs will be accepted by NAAC for further processing and others will be rejected. 3. SSR: After the acceptance of IIQA, the institution will be asked to fill the SSR with the required document to be uploaded in the portal of NAAC website within 45 days. The SSR of the HEI will then be subjected to further process. The SSR comprises both Qualitative and Quantitative metrics. The Quantitative Metrics (QnM) add up to about 70% and the remaining about 30% are Qualitative Metrics 4. DVV: The data submitted on Quantitative Metrics (QnM) will be subjected to validation exercise with the help of independent Data Validation and Verification (DVV) process as per the guidelines of NAAC Pre-qualifier: The Quantitative Metrics (QnM) which is constitutes about 70% of SSR will be sent for Data Validation and Verification (DVV) Process. HEI that clears the DVV process will proceed for Peer Team Visit with a condition of a Pre-qualifier, that the HEI should score at least 25% in Quantitative Metrics (QnM) as per the final score after the DVV Process. If the HEI does not clear the Pre-qualifier stage then they will have to apply afresh by submitting the IIQA and its fees. Such HEIs are eligible to apply again only after six months from the day of declaration of Pre-qualification status. 5. Student Satisfaction Survey (SSS): SSS will be conducted simultaneously with DVV process. Peer Team visit: After the DVV process, NAAC will intimate the HEI, within 10 days stating that they have successfully cleared the Pre-qualifier. This indicates that the institution has entered the next round of assessment to be done by the Peer Team during their on-site visit. The focus of Peer Team visit will be on the 30% Qualitative Metrics (QlM. Peer Team visit of the institution should not exceed three months after clearance of Pre-qualifier stage.The suggestions are invited for improving this present process, for which possible solutions may be based on: 1. How to strengthen the Data Verification and Validation Process with IT driven approach and with least manual verification. 2. IT Models or tools to be used to obtain optimum results in the DVV process.""",Software,SS893,5,Miscellaneous
Narcotics Control Bureau (NCB).,Development of an app/software for tracking dual use chemicals (chemicals that have legit uses and when diverted become precursors to major drugs)from their manufacture to end use. Need to have proper app and software to collate and maintain this data with proper data mining facilities. We should also have utilities in generating crucial report.,"Imports or use of Drugs having Dual use and drugs, which are used as Raw Material for the manufacturing of other drugs requires permission from Zonal Offices of CDSCO. Dual use means drugs which can be used in both pharmaceutical as well as other industries. These are substances which are covered under the definition of the drugs but are not used for medicinal purposes and are used in other industries like textile industries, chemical industries, and food industries etc. or are used as a starting material/intermediate material for synthesis of other drugs. In cases of imports or use of such drugs, an application of NOC needs to be procured from the zonal office of CDSCO. The intended solution should enable tracking the supply chain of these dual use drugs from the manufacturer to the end user. The solution can be in the form of a cross platform software application. It should be feasible to integrate with the existing flow with minimum changes. The solution should enable the authorities to monitor the data in real time and can generate the observations as a report.",Software,PK894,4,Miscellaneous
Narcotics Control Bureau (NCB).,Development of an app/software for tracking prescription drugs (medicines having narcotic & psychotropic properties that are also covered under NDPS Act) to prevent its misuse. Such an app should track a prescription drug right from the manufacture at a factory until it is disbursed/sold to a legit patient by an authorized pharmacy/chemist/hospital.,"According to Indian laws, a chemist can dispense prescription drugs only on the prescription of doctor. A prescription requires the name of the doctor, his /her address, and registration number besides the name/s of the drug/s, their potency, dosage, and duration for which the drugs are to be supplied. The chemist cannot dispense quantity more than what has been prescribed by the doctor. Before dispensing the drugs, the pharmacist is expected to verify the completeness, authenticity, and legality of the prescription. Prescription drugs and their ingredients, or “precursors”, are being increasingly diverted for recreational use of illegal drugs. Therefore, these drugs are covered under the NDPS act. However, we don’t have any system in hand to track the flow of these drugs and to track the authenticity of the delivery to the end user. The intended solution should enable tracking the supply chain of these prescription drugs from the manufacturer to the end user. The solution can be in the form of a cross platform software application. It should be feasible to integrate with the existing flow with minimal changes. The solution should ensure that the drugs are delivered only to the person with the doctor’s prescription.",Software,PK895,39,Miscellaneous
Narcotics Control Bureau (NCB).,Development of an app where general public can report information on drug trafficking anonymously.,"India lies sandwiched between two of the world’s “three key production areas” for opium, leading to an illicit drugs crisis. But cross-border trafficking holds only part of the explanation for the illicit drugs trade that runs through India. India’s pharmaceutical industry is “the largest provider of generic drugs globally”, as per the department of pharmaceuticals, Ministry of Chemicals and Fertilizers. But there have been reports of clandestine manufacturing and siphoning of synthetic drugs, as well as illicit trade in chemical precursors. Currently there is no digital way of reporting drug trafficking. The only way is to reach out Narcotics squad or nearby police station. However, this is not feasible since majority of public will not be ready to disclose their profile or will not be ready to spend their time physically. The intended solution should enable public to report the findings of drug trafficking in their locality anonymously. If the system is anonymous there could be possibility of large number of false alarms, and some can be intentional too. Hence the solution should enable filtering out the false alarms by employing any kind of machine learning models. The solution should enable the public to upload any relevant information about the finding and it should be easy for the user to use with different language. supports.",Software,PK896,47,Miscellaneous
Narcotics Control Bureau (NCB).,Crawling of the Darknet markets to identify drug traffickers on dark net based in India and the drugs they offer for sale.,"India lies sandwiched between two of the world’s “three key production areas” for opium, leading to an illicit drugs crisis. But cross-border trafficking holds only part of the explanation for the illicit drugs trade that runs through India. India’s pharmaceutical industry is “the largest provider of generic drugs globally”, as per the department of pharmaceuticals, Ministry of Chemicals and Fertilizers. But there have been reports of clandestine manufacturing and siphoning of synthetic drugs, as well as illicit trade in chemical precursors. Currently there is no digital way of reporting drug trafficking. The only way is to reach out Narcotics squad or nearby police station. However, this is not feasible since majority of public will not be ready to disclose their profile or will not be ready to spend their time physically. The intended solution should enable public to identify drug traffickers on dark net based in India and the drugs they offer for sale. The solution should enable the public to upload any relevant information about the finding and it should be easy for the user to use with different language supports.",Software,PK897,10,Miscellaneous
Narcotics Control Bureau (NCB).,Digital foot printing of crypto currency transactions for drug trafficking over Darknetdone by persons based in India,"The Darknet – the vast portion of the Internet which can only be accessed using specialized software – and virtual cryptocurrencies have many positive benefits, but the focus on anonymity leaves them open to misuse by criminals. The illicit sale of drugs, firearms and explosives; people smuggling; money laundering; terrorist activities; and cybercrime can all be facilitated by these technologies. Currently there is no digital way of reporting drug trafficking. The only way is to reach out Narcotics squad or nearby police station. However, this is not feasible since majority of public will not be ready to disclose their profile or will not be ready to spend their time physically.Currently there is no digital way of reporting drug trafficking. The only way is to reach out Narcotics squad or nearby police station. However, this is not feasible since majority of public will not be ready to disclose their profile or will not be ready to spend their time physically.",Software,PK898,5,Miscellaneous
National Disaster Response Force (NDRF).,Administrative Difficulties faced by NDRF in Rescue missions in floods/GLOF(Glacial Lake Outburst Flood) situations,"""In the far-flung disaster struck areas, the movement of rescuers is restrictive due to the landslides, washed away roads etc. due to which search, and rescue missions are disrupted. This delays / makes it challenging for the NDRF in rescue missions in floods/GLOF(Glacial Lake Outburst Flood). The NDRF always wanted to make their rescue missions undisrupted and as quick as possible. In the areas where landslides occurred or roads being washed away, the search operations become tedious and disrupts the rescue mission. So, it is very vital that we have technological solutions which can help. a) Provide cheap, fast access to aerial data of a large area. b) Employment of sensors which can be used for identifying ground objects c) Drones, which can carry different types and greater payloads that can be used in different situations like 4K wide-angle camera, thermal camera, night vision device, communication device, drops foods and medicines as these are of extensive use during search and rescue missions. d) Drones which can fly for a considerable amount of time and beyond line of sight.""",Hardware,GS899,30,Disaster Management
National Disaster Response Force (NDRF).,Extraction of Data including voice and images from various social Media platforms from Disaster struck areas,"It is vital to evaluate the disaster struck areas, understand the requirements at the ground level (social media accounts being extra active posting pictures or voice notes during the disaster time) to channelize and optimize the resources. During critical times of disaster, The NDRF wanted to quickly identify the areas of high impact, number of affected people and what help they need? With this data it will be helpful for the NDRF to optimize, channelize more resources to the high impact/more people affected areas. One way to evaluate is by identifying all social media accounts across various platforms which have some extra activity in case of any unusual incident/ in case of Disaster. Assuming that the local affected people start sharing the images, voice messages as soon as they find themselves that they are struck by any of the disasters.The data collection from social media platforms will enable the federal agencies to optimize and channelize the resources as per the requirement and will get the clear picture of the situation which will help in handling such situations in an effective manner.",Software,GS900,24,Disaster Management
