Job_Role,Company,Location,Job Experience,Skills/Description
Big Data Developer - Java/r/python,Career Infosystem,Hyderabad/Secunderabad,3-8,"modeling, Apache, D3 js, Java, Spark, Oracle, Java Scripts, Python"
Java/big Data Developer - Spark/hive/data Warehousing,Serving Skill,Pune,8-13,"IT Skills, Java, Software Development, Testing, Cloud, Big Data, Hive, SOA"
Urgent need of Big Data Developer For MNC in Gurgaon,Inimitable Solutions Private Limited,Gurgaon/Gurugram,4-8,"Hive, Shell Scripting, Sql, Python, Communication, IT Skills, Big Data"
Big Data Developer - Tomcat/jersey/servlets,Career Infosystem,Chennai,4-9,"Tomcat, IT Skills, Java, Oracle, Big Data, NoSQL, Kafka, JDBC"
Big Data Developer - Hadop/mapreduce,Career Infosystem,Hyderabad/Secunderabad,5-10,"Java, Rest, NoSQL, XML, Hadoop, Programming, Unix Shell Scripting, HBase"
Big Data Developer - Javascript/node.js,Career Infosystem,"Ahmedabad, Gujarat",6-10,"Java, Linux, C, Jenkins, Restify, Puppet, REST API, MangoDB"
Big Data Developer,Optico Solutions Pvt. Ltd.,Chennai,8-11,"IT Skills, Java, Python, Testing, Big Data, AWS, Aws Lambda, hadoop"
Senior Business Analyst,Wavelabs,Hyderabad/Secunderabad,8-12,"IT Skills, Machine Learning, Project development, Data analysis, Incharge, Business Analyst, Bfsi, Functional testing"
Senior Business Intelligence Analyst,First American (India) Pvt Ltd,Bangalore/Bengaluru,7-10,"C++, MS SQL, Data analysis, Simulation, Consulting, Stored procedures, QlikView, Business intelligence"
Sr . Analyst - Digital Analytics,milestone internet marketing pvt ltd,"Ahmedabad, Bangalore/Bengaluru",4-8,"Hospitality, CRO, Javascript, Data collection, SEM, Troubleshooting, SEO, Adobe"
Labeling Analyst / Sr. Labeling Analyst,SGTC India,"Gurgaon/Gurugram, Bangalore/Bengaluru",3-7,"Computer science, Data analysis, ERP, Data management, Project management, Pharma, MySQL, Continuous improvement"
Sr Analyst Supply Chain,GLOBALFOUNDRIES,Bangalore/Bengaluru,5-10,"Power BI, Hive, Data Quality, Big Data, Master Data Management, Data Analysis, Data Collection, Spark"
"Business Title Senior Analyst I, HR Systems & Analytics",Harman Connected Services Corporation India Pvt.,Bangalore/Bengaluru,4-9,"Data analysis, Automation, Due diligence, Usage, Claims, Data management, Staffing, Analytical"
Senior Business Systems Analyst - Salesforce,Akamai,Bangalore/Bengaluru,4-7,"IT Skills, Software Development, ERP, Data analysis, Business analysis, Enterprise applications, Agile, JIRA"
Sr. Business Analyst,Seven Consultancy,Bengaluru,3-6,"Customer acquisition, Statistical modeling, Google Analytics, Data management, Business Analyst, Business analysis, Analytical, Data Analyst"
BUSINESS ANALYST/SENIOR BUSINESS ANALYST,Jobscubicle,Bengaluru,7-12,"customer analytics, Marketing analytics, customer marketing, Bfsi, Investment research, Senior Business Analyst, Market research, Business intelligence"
Sr. Financial Systems Analyst,Moody's,Bangalore/Bengaluru,3-8,"system operations, EPM Implementation, data factory architecture, Financial Systems Analyst, PowerBI, Snowflake, Anaplan, Hyperion Planning"
Senior Business Analyst,Seven Consultancy (HR Solution),Bangalore/Bengaluru,4-9,"Relationship management, Business Analyst, data science, big data analytics, Consulting, Relationship, power bi, data visualization"
Sr Business Analyst,Seven Consultancy (HR Solution),Bangalore/Bengaluru,3-6,"Customer acquisition, Business consulting, Statistical modeling, Google Analytics, Data management, Business analysis, Analytical, Senior Data Analyst"
Senior Analyst - Business Intelligence - MicroStrategy,Time Analytic &amp; Shared Services Private Limited,Bangalore/Bengaluru,3-5,"Microstrategy, MS SQL, Data analysis, Data modeling, Javascript, HTML, HTTP, Teradata"
Information Security Training & Awareness Senior Analyst,GSK India,Bangalore/Bengaluru,3-7,"Procurement, Business process, Administration, ISO, Business analysis, Information security, Data collection, Healthcare"
"Senior Analyst, Business Development Operations",Zscaler Softech,Bangalore/Bengaluru,6-8,"MS Office suite, tableau, Sales operations, Data management, Analytical, Marketing operations, Business intelligence, Operations"
"Senior Analyst, Business Development Operations",cloudneeti,Bangalore/Bengaluru,6-8,"MS Office suite, tableau, Sales operations, Data management, Analytical, Marketing operations, Business intelligence, Operations"
Senior Analyst - Business (Financial Services),Bukuwarung,Bangalore/Bengaluru,2-5,"Supply chain, Loans, Risk assessment, Data quality, Product design, SPSS, Analytics, Financial services"
Senior Business Analyst,Sun Technology Integrators Private Limited,"Bengaluru, kerala",3-8,"IT Skills, Software Development, Testing, DevOps, Data migration, Business Analyst, Bfsi, Analytical"
Sr. Analyst - Finance & Accounts,Microland,Bangalore/Bengaluru,1-3,"accounts payable, PeopleSoft accounting, general accounting, data entry, Analyst, PeopleSoft, Financial Analyst, Management"
Sr. Business Support Analyst-Salesforce administration,Zscaler Softech,Bangalore/Bengaluru,7-12,"Business System Analyst, RCA, Business system, Automation, Data management, SFDC, Troubleshooting, Operations"
Sr. Business Support Analyst-Salesforce administration,cloudneeti,Bangalore/Bengaluru,7-12,"Business System Analyst, RCA, Business system, Automation, Data management, SFDC, Troubleshooting, Operations"
Senior Business Analyst,Bloom Consulting Services,Bengaluru,2-5,"advanced analytics, Retail, Data modeling, Analytical, Consulting, Relationship, Senior Business Analyst, data visualization"
Senior OLM Business Analyst,Shell,Bangalore/Bengaluru,8-13,"OLM, Endur, Aligne, data analysis, Azure data functions, Azure Dev Ops, IT Support, IT Operations"
Business Intelligence Senior Analyst,NTT DATA,Bangalore/Bengaluru,3-6,"Unix, Data management, Business Analyst, SQL database, Business analysis, query, PLSQL, Teradata"
Senior Business Analyst,Assetmonk Hospitality Pvt. Ltd,Hyderabad/Secunderabad(Kondapur),1-6,"Business Research, business analysis, User Research, Coding, project management, data analysis, Microsoft Office Applications, Power Bi"
HRBP - Senior Analyst,Meredith Corporation,Bangalore/Bengaluru,4-7,"Data analysis, Analytical, Employee engagement, Data collection, Succession planning, Talent management, MS Office, Stakeholder management"
Senior Financial Analyst,Red Hat,Pune,6-11,"IT Skills, Python, Oracle, Tableau, SAP, Salesforce, Relationship management, ERP"
Senior Analyst,Slice,Bangalore/Bengaluru,1-5,"Analytical skills, Root cause analysis, Billing, Credit cards, data visualization, Medical insurance, Customer experience, Analytics"
Senior Analyst - Operations Analytics,MPOWER Financing,Bangalore/Bengaluru,5-9,"Root cause analysis, Data analysis, Financial inclusion, Call center operations, Agile, Forecasting, Financial services, SQL"
Senior Bioinformatics Analyst,Elanco,Bangalore/Bengaluru,3-5,"Computer science, Computational chemistry, Automation, Data analysis, Medicinal chemistry, Project management, Machine learning, Shell scripting"
Senior Analyst-(H/F),Societe Generale,Bangalore/Bengaluru,4-8,"Know Your Customer, IT Skills, Testing, Quality Assurance, Communication Skills, Data Quality, Investment Banking, Client Onboarding"
Senior HRIS Analyst,AMETEK Inc,Bangalore/Bengaluru,5-8,"Analyst, Payroll, Data analysis, Production support, HRIS Analyst, Analytical, HR, data integrity"
Sr . Business Systems Analyst,kk consulting services,Bangalore/Bengaluru,7-12,"Business process, Data analysis, Data management, Business analysis, Application programming, Application development, Test cases, SDLC"
Senior Business Analyst,Sun Technology Integrators Private Limited,Bengaluru,3-8,"Data migration, Business Analyst, Bfsi, Analytical, Agile, Workflow, data mapping, Data mining"
Business Analyst / Sr Business Analyst Liquidity,Optimum Solutions,Bengaluru,5-8,"Change management, Business Analyst, Business analysis, Financial risk, liquidity risk, Agile, data visualization, Stakeholder management"
Senior Business Analyst,Sun Technology Integrators Private Limited,Bengaluru,4-8,"Data migration, Web technologies, Business Analyst, Bfsi, Analytical, Agile, Workflow, data mapping"
Senior Business Operations Analyst,Infoblox,Bangalore/Bengaluru,7-12,"Product management, Automation, Data validation, Business analytics, Reconciliation, Wellness, Analytics, Reporting tools"
Finance - Senior Analyst,PwC,Gurgaon/Gurugram,2-5,"Analyst, Data analysis, Leadership development, Financial planning, IFS, Billing, Management, Research analysis"
SR. ANALYST (HADOOP),General Mills,Mumbai,8-13,"Supply chain, Business services, Automation, Linux, Consulting, Scheduling, Data mining, Business intelligence"
Senior Analyst-Digital Marketing Analytics,Accenture,Gurgaon/Gurugram,5-8,"Visual Basic, Web analytics, Consulting, SSRS, Digital marketing, Business administration, Marketing analytics, Data analytics"
Financial Markets-Senior Analyst-Investment Banking Experience,eClerx,Pune,2-4,"Data Management, IT Skills, Testing, Listed, Mailbox Management, Loans, Operational risk reporting, Risk functions"
Senior Analyst-Investment Banking,Accenture,Chennai,5-8,"Underwriting, Fixed income, Investment banking, Capital market, Financial services, Consulting, Succession planning, Data analytics"
Sr . Analyst ( PPM : Sopheon Accolade ),Tetra Pak,Pune,5-6,"MS SQL, Front end, Master data management, Diversity and Inclusion, System integration, Web development, Javascript, HTML"
Senior Product Analyst,EA Games (Electronic Arts),Hyderabad/Secunderabad,3-8,"Product Analyst, Analyst, Mobile phones, Packaging, HTML, data visualization, Gaming, SQL"
Senior Analyst-Governance,Accenture,Gurgaon/Gurugram,5-8,"Change management, Consulting, Incident management, Analytics, Monitoring, Automation, Business reporting, data governance"
Senior Analyst-Recruitment,Accenture,Mumbai,5-8,"Process design, Performance management, Talent acquisition, Consulting, Succession planning, IT Skills, Cloud, Supply chain management"
Senior Analyst-Record To Report,Accenture,Chennai,5-8,"Journal entries, Consulting, Succession planning, Forecasting, Operations, IT Skills, Cloud, Balance Sheet analysis"
Senior Analyst-Digital Marketing Analytics,Accenture,Mumbai,5-8,"IT Skills, Artificial Intelligence, Digital Marketing, Business administration, Analyst, Marketing analytics, Publishing, Web analytics"
Senior Analyst,Grofers,Gurgaon/Gurugram,3-6,"Internal Audit, Compliance, Finance, Data Analysis, Subject Matter Expert, Operations, Data Governance, Risk Management"
Senior Analyst - Finance Operations,eClerx,Mumbai,2-4,"Finance Operations, Technical Management, Change Management, Excel, Financial Services, Process Management, Financial Markets, Data Analytics"
Digital - Senior Analyst - BCA- python,eClerx,Pune,2-3,"python, IT Skills, Selenium, Web Operations, Software Architecture, Web Technologies, Competitive Intelligence, Snowflake"
Senior Analyst-Order To Cash Processing,Accenture,Chennai,5-8,"Billing, Consulting, Operations, IT Skills, Cloud, Succession Planning, Journal Entries, Accounts Receivable"
Senior Analyst-Campaign Management,Accenture,Mumbai,5-8,"Direct Marketing, Digital Marketing, CRM, IT Skills, Cloud, Salesforce, Automation, Consulting"
Senior Analyst-Procure To Pay Processing,Accenture,Chennai,5-8,"Billing, Consulting, Operations, Procurement, Succession Planning, Business Administration, Data Analytics, Interpersonal Skills"
Senior Analyst-Order To Cash Processing,Accenture,Hyderabad/Secunderabad,5-8,"Billing, Consulting, Risk Management, IT Skills, Cloud, Invoice Processing, Master Data Management, Operations"
Senior Analyst-Procure To Pay Processing,Accenture,Noida,5-8,"Billing, Consulting, Operations, Procurement, Succession Planning, Finance, Data Analytics, Financial Operations"
Senior Analyst - Quality,Signify,Pune,6-8,"Career development, Data analysis, SAP, Senior Analyst, Sheet metal, Diversity and Inclusion, PPAP, SCM"
Senior Analyst - FTS NBS,Franklin Templeton,Hyderabad/Secunderabad,6-8,"Business services, Data analysis, Business analysis, Project management, Process improvement, Analytical, MS Outlook, Budgeting"
Senior Analyst- Reporting (Account Management),KPMG,Gurgaon/Gurugram,2-5,"Analytical skills, Analyst, Excel, Data management, Time management, Accounting, Finance, power bi"
Senior Financial Analyst,EA Games (Electronic Arts),Hyderabad/Secunderabad,5-10,"Business administration, Data validation, Interpersonal skills, Financial reporting, Performance management, Diversity and Inclusion, Financial planning, Issue resolution"
Senior Analyst,EA Games (Electronic Arts),Hyderabad,5-10,"IT Skills, Machine Learning, Tableau, Data analysis, Google Analytics, Analytical, Mobile phones, Business Intelligence Analyst"
Senior Analyst -1 (Electric Mobility),IHS Markit,Gurgaon/Gurugram,3-7,"IT Skills, Python, Data Science, Supply chain management, Primary research, Aerospace, Manager Technology, HTTP"
Senior Analyst - FP&A (Machine Learning & Analytics),Harsco Global Service Centre,Hyderabad/Secunderabad,3-5,"Interpersonal skills, Excel, Financial analysis, Analytical, Machine learning, model development, MS Office, Analytics"
Senior Analyst-Digital Marketing Analytics,Accenture,Gurgaon/Gurugram,5-8,"Consulting, Microsoft, Analytics, Analyst, Marketing analytics, Web analytics, Data analytics, Client relationship"
Senior Analyst-Application Hosting Operations,Accenture,Hyderabad/Secunderabad,5-8,"Consulting, Data Management, SSIS, IT Skills, Cloud, Mining, Analyst, MS SQL"
Senior Analyst-Digital Marketing Analytics,Accenture,Mumbai,5-8,"IT Skills, Artificial Intelligence, Javascript, Digital Marketing, Analyst, Marketing analytics, Publishing, Web analytics"
Senior Analyst-Order To Cash Processing,Accenture,Hyderabad/Secunderabad,5-8,"IT Skills, Cloud, O2C, Analyst, Master data management, Invoice processing, Billing, Consulting"
Senior Analyst-Program and Project Management,Accenture,Gurgaon/Gurugram,5-8,"IT Skills, Cloud, Project Management, Power BI, BPO, project management, Analyst, Excel"
Senior Analyst-Governance,Accenture,Noida,5-8,"Analyst, Change management, Automation, Business reporting, Consulting, data governance, Incident management, Individual Contributor"
Senior Analyst-Supply chain planning,Accenture,Mumbai,5-8,"Supply chain, Analyst, Excel, Demand planning, data reporting, Consulting, Supply chain planning, Supply planning"
Financial Markets-Senior Analyst-Derivative Operations Settlements,eClerx,Pune,1-2,"FX, Equity, FI Derivatives product, communication, written, presentation, verbal, Business Process Management"
Senior Analyst-F and A Analytics,Accenture,Gurgaon/Gurugram,5-8,"Analyst, Publishing, Architecture, Analytical, Consulting, Data analytics, Individual Contributor, Operations"
Senior Analyst-Talent Acquisition,Accenture,Chennai,5-8,"Analyst, Performance management, Talent acquisition, Consulting, Succession planning, Scheduling, Data analytics, Talent management"
Senior Analyst-Lending Operations,Accenture,Chennai,5-8,"Economics, Analyst, Finance, Consulting, Client relationship, Capital market, Individual Contributor, Financial services"
Senior Analyst-Record To Report,Accenture,Gurgaon/Gurugram,5-8,"Analyst, Automation, Journal entries, Finance, Consulting, record to report, Data analytics, Forecasting"
Senior Analyst-Content Management,Accenture,Mumbai,5-8,"Analyst, Content management, Managed services, Data management, digital asset management, Consulting, Marketing operations, Digital marketing"
Senior Analyst-Lending Operations,Accenture,Chennai,5-8,"Analyst, Finance, Consulting, Client relationship, Capital market, professional services, Individual Contributor, Financial services"
Senior Analyst-Lending Operations,Accenture,Chennai,5-8,"Loans, Financial analysis, Consulting, Credit analysis, Financial statement analysis, Capital market, mortgage underwriting, Financial services"
Senior Analyst-Record To Report,Accenture,Gurgaon/Gurugram,5-8,"IT Skills, Cloud, Automation, Journal entries, Data management, Consulting, record to report, data visualization"
Senior Analyst-Lending Operations,Accenture,Chennai,5-8,"Business administration, Analyst, Interpersonal skills, Wholesale banking, Consulting, Capital market, Individual Contributor, Financial services"
Sr . Analyst - Hyperlocal operations,Merkle Inc.,Pune,3-8,"Interpersonal skills, Team management, Excel, MIS, Project management, Digital marketing, Powerpoint, Reporting tools"
Sr Product Analyst,SALESFORCE,Hyderabad/Secunderabad,3-7,"Data analysis, Siebel, Agile, Data quality, Oracle, Analytics, CRM, SQL"
senior Analyst,BNP Paribas,Chennai,2-5,"Analyst, Front office, Due diligence, Collateral management, static data, Billing, Back office, MS Office"
Sr . Analyst ( Hadoop ),General Mills,Mumbai,5-10,"Supply chain, Business services, Automation, Linux, Consulting, Scheduling, Data mining, Business intelligence"
System Analyst Senior,"Qualcomm Technologies, Inc",Hyderabad/Secunderabad,1-4,"JMS, Application support, Data analysis, LDAP, XML, JSON, Oracle, Troubleshooting"
Senior Analyst-Predictive Analytics and Modeling,Accenture,Gurgaon/Gurugram,5-8,"Analyst, Consulting, Machine learning, Data mining, Risk management, Individual Contributor, Operations, Predictive analytics"
Sr Integration Program Analyst,Icon Clinical Research,Chennai,5-10,"SQL, c#, oracle, software development, SSRS, etl, SSIS, data integration"
Senior Analyst-Human Resources Shared Services (HRSS),Accenture,Mumbai,5-8,"IT Skills, Data Science, Machine Learning, Cloud, Project Management, BPO, project management, Analyst"
Senior Analyst-Operations Excellence,Accenture,Chennai,5-8,"Delivery excellence, Automation, Operational excellence, Consulting, Data analytics, data visualization, Continuous improvement, Project delivery"
Senior Analyst-F and A Analytics,Accenture,Gurgaon/Gurugram,5-8,"IT Skills, Artificial Intelligence, Cloud, Tableau, Analyst, Publishing, Data management, Architecture"
Sr Research Analyst I,IHS Markit,Gurgaon/Gurugram,2-5,"fixed income, equities, data mining, Excel, SQL, fixed income markets, Swift, corporate actions"
Systems Integration Senior Analyst,NTT DATA,Noida,4-5,"vSphere 6 7, vRealize suite, vSAN configuration, NSX - T, vSphere 6 5, VMware, VCF, Dell EMC VxRail"
SR ANALYST - SC ANALYTICS - NETWORK,General Mills,Mumbai,3-8,"Supply chain, Automation, Network design, Data management, Networking, Simulation, Data collection, Workflow"
Sr Operations Analysis Analyst,IHS Markit,Noida,3-6,"oral communication, MS Excel, communication, VBA, written, MS Access, Data analysis, Interpersonal skills"
Senior Analyst - Web Analytics + PowerBi,KPMG,Gurgaon/Gurugram,3-6,"adobe analytics, Web analytics, Analytical, MySQL, Data quality, MS Office, Digital marketing, Team building"
"Quality Control Senior Analyst, Climate Solutions",Morningstar,Mumbai,3-5,"Analyst, Root cause analysis, Manager Quality Assurance, Excel, Data management, MS Access, Data quality, Manager Quality Control"
"Continuous Improvement Senior Analyst, Climate Solutions",Morningstar,Mumbai,3-5,"Analyst, Manager Quality Assurance, Excel, Data management, MS Access, Data quality, Manager Quality Control, Business process management"
Senior Financial systems analyst,Ameriprise Financial,Noida,5-10,"Analyst, Data analysis, Financial planning, Data quality, data integrity, Manager Quality Control, Asset management, microsoft"
Senior Systems Analyst- Tech,Ameriprise Financial,Gurgaon/Gurugram,4-6,"Analyst, Data management, UML, Business analysis, Pega, Test cases, Asset management, JIRA"
Senior Business Analyst,Pratham Software Pvt. Ltd.,Jaipur,2-5,"Business process, Data analysis, Test scripts, Business analysis, Project management, Agile, Scrum, JIRA"
Senior Business Analyst-Fin Systems,Moody's,Gurgaon/Gurugram,3-5,"software suite, accounting systems, Prolease, SAP, data analysis, Blackline, Vertex PeopleSoft, Hyperion"
Senior Analyst - Analytics,Synchrony,Hyderabad/Secunderabad,2-5,"Data Management, Oracle DBA, SQL Server, Analytics, Data Analytics, Power BI, PostgreSQL, Big Data"
Sr Analyst - Fraud Tools and Infrastructure,Synchrony,Hyderabad/Secunderabad,3-5,"SAS, Big Data technologies, Analytics, SQL, Python, Unix, Java, C++"
Senior Analyst - Model Validation,Synchrony,Hyderabad/Secunderabad,2-5,"modeling risk, Risk Analytics, statistical modeling, statistical analysis, Big Data Analytics, data analysis, SAS, Statistical Tools"
"Product R&D SW Engineer - Speech Scientist (Python, SQL)",Cerence Inc.,Pune,1-3,"Computer science, Data analysis, Compliance, Javascript, Agile, JIRA, Corporate security, Automotive"
Senior Product Analyst,EA Games (Electronic Arts),Hyderabad/Secunderabad,4-9,"IT Skills, Python, Machine Learning, Tableau, Data analysis, Google Analytics, HTML, Scheduling"
Senior Support Analyst,BNP Paribas,Mumbai,3-8,"Front office, Automation, Linux, Analytical, Shell scripting, market data, Windows, Release management"
Business Intelligence Analyst,Arrow Electronics,Bangalore/Bengaluru(HSR Layout),2-4,"charts, Data Validation, business intelligence tools, data analysis, Excel, Power Bi, Dashboards, Reporting"
Business Intelligence Analyst,Arrow Electronics,Bangalore/Bengaluru,2-5,"Supply chain, Data analysis, Business analysis, Trend analysis, Market intelligence, power bi, ms-dos, SQL"
Business Intelligence Analyst,Arrow Electronics,Bangalore/Bengaluru,1-3,"Data analysis, Sales, Business analysis, Trend analysis, Business Intelligence Analyst, Data collection, power bi, Management"
Business Intelligence Analyst,Arrow Electronics,"Indi, Bangalore/Bengaluru",2-5,"Supply chain, Data analysis, Business analysis, Trend analysis, Market intelligence, Business Intelligence Analyst, ms-dos, SQL"
Analyst - Process Support Services (BDS Support),TresVista Financial,"Mumbai, Pune, Bangalore/Bengaluru",0-1,"Communication Skills, Excel, Portfolio Management, Time Management, Financial Institutions, Relationship Manager, Data Collection, Powerpoint"
Analyst - Procurement - SEP,TresVista Financial,"Mumbai, Pune, Bangalore/Bengaluru",0-1,"Procurement, Supply chain, Product quality, Analytical skills, Industry research, Interpersonal skills, Fund administration, Data analytics"
Analyst - Process Support Services,TresVista Financial,"Mumbai, Pune, Bangalore/Bengaluru",0-1,"Communication Skills, Excel, Word, Portfolio Management, Time Management, Financial Institutions, Relationship Manager, Data Collection"
Analyst - Infocenter,TresVista Financial,"Mumbai, Pune, Bangalore/Bengaluru",0-1,"Team Management, Accounting, Finance, Industry Research, Business Development, Data Analytics, Market Research, Fund Administration"
Business analyst,Allegis Services India Pvt. Ltd.,Bangalore/Bengaluru,5-10,"etrm, business analysis, sql, XSLT, Power Operations, XML, SQL Query, power trading"
Business analyst,Allegis Services India Pvt. Ltd.,Bangalore/Bengaluru,5-10,"etrm, business analysis, sql, XML, XSLT, SQL Query, Power Operations, power trading"
IT Business Analyst - R&D IT PCA DDM,NXP Semiconductors,"Noida, Bangalore/Bengaluru",4-8,"Unix, Computer science, Automation, Linux, Data management, Business Analyst, Configuration management, Analytical"
Research Analyst - Process Support Services,TresVista Financial,"Mumbai, Pune, Bangalore/Bengaluru",0-1,"Transcription, Time management, Business plan development, Data collection, Fund administration, Support services, Customer relationship, MS Office"
Analyst - IT Compliance,TresVista Financial,"Mumbai, Pune, Bangalore/Bengaluru",0-1,"Cism, Industry research, Root cause analysis, Cisa, data security, Information security, Risk assessment, SOC"
"Analyst II, IM Business Analysis",Conduent,Bangalore/Bengaluru,1-5,"Business process, Automation, Business transformation, Business analysis, Test scenarios, Healthcare, Data structures, Business solutions"
Business Analyst,Rapido,Bangalore/Bengaluru,2-3,"Google Analytics, Excel, CleverTap, python, SQL, IT Skills, Digital Marketing, Tableau"
Systems Analyst I,Bioclinica,"Mysore/Mysuru, Pondicherry/Puducherry, Bangalore/Bengaluru",0-3,"Mining, Data management, Database design, Project management, Analytical, Pharma, Data collection, Clinical trials"
Business Analyst,Brillio,Bangalore/Bengaluru,10-12,"CMS, FAS, TRAMS, ITS, LMS, Business Analyst, big data analytics, Consulting"
Business Analyst - Banking Framework,Temenos,"Chennai, Bangalore/Bengaluru",3-7,"Product management, HP data protector, Wealth management, Coding, Bfsi, Presales, User acceptance testing, Recruitment"
Analyst NOC Technical Support,Motorola Solutions India Private Ltd,Bangalore/Bengaluru,2-5,"Computer hardware, Data center operations, data integrity, Outsourcing, professional services, Information technology, Motorola, Technical support"
Knowledge Management Analyst,Mphasis,Bangalore/Bengaluru,1-2,"Cloud Technologies, data centre, techno-savvy, knowledge management, technical writing, Content Management, Coordination, writing skills"
Technical Business Analyst,JPMorgan Chase,Bangalore/Bengaluru,6-11,"Computer science, Data analysis, Software Engineering Manager, Data modeling, Coding, Application programming, Software Associate, Agile"
Database Analyst,V2Soft,Bangalore/Bengaluru,6-9,"SQL, DevOps, analytical, SQLs, Database testing, Database Analysis, data development, database Architecture"
Business Intelligence Analyst I,Cerner,Bangalore/Bengaluru,1-4,"Business analytics, Supply chain management, Business Intelligence Analyst, Consulting, Business management, Healthcare, Data quality, Data analytics"
Content Analyst - Japanese Language,Refinitiv,Bangalore/Bengaluru,0-3,"Automation, Stock exchange, Finance, Database administration, Healthcare, market data, Data quality, Japanese"
Content Analyst - Italian Language,Refinitiv,Bangalore/Bengaluru,0-2,"Diagnostics, Stock exchange, Finance, Consulting, Healthcare, Data quality, Content Analyst, Recruitment"
Equity Research Analyst,Envestnet,Bangalore/Bengaluru,0-3,"Data Science, Data Management, Spark, Equity Research Analyst, Statistics, Analytics, Python, Sql"
Analyst Supply Chain Management,Cresc Datasoft Private Limited,Bengaluru,0-2,"Order management, English, Supply chain management, Invoice processing, Accounts payable, ITES, SCM, Real estate"
Analyst-Risk and compliance,Accenture,Bangalore/Bengaluru,3-5,"Data analysis, Consulting, Capital market, Fraud management, Financial services, Root cause analysis, Interpersonal skills, Finance"
Analyst-Pharma ERP,Accenture,Bangalore/Bengaluru,3-5,"ERP, SAS, Cognos, Consulting, SQL, IT Skills, Testing, Cloud"
Analyst-Reporting,Accenture,Bangalore/Bengaluru,3-5,"Visual Basic, Excel, Data management, Consulting, Macros, Business reporting, Management"
Analyst-HR Operations,Accenture,Bangalore/Bengaluru,3-5,"Process design, Payroll, Performance management, Consulting, Data processing, Administration, Job analysis, Backend"
Analyst-Healthcare Management,Accenture,Bangalore/Bengaluru,3-5,"Health insurance, Public relations, Consulting, Budgeting, Analytics, IT Skills, Quality Assurance, Artificial Intelligence"
AR System Analyst,Salesforce,Bangalore/Bengaluru,1-5,"Business process, Data analysis, ERP, Process documentation, Project management, Billing, Javascript, HTML"
CyberSecurity Analyst,Schneider Electric,Bangalore/Bengaluru,3-7,"Analytical skills, cyber security analyst, Compliance, Coding, Security Analyst, Software development life cycle, Test planning, data privacy"
Asset Management Analyst,IBM,Bangalore/Bengaluru,2-3,"Order management, Analytical skills, Interpersonal skills, Data analytics, IT management, asset management, MS Excel, management"
Business Analyst,NTT DATA,Bangalore/Bengaluru,1-4,"acceptance testing, Agile, IT Skills, Testing, Business process, IT services, Automation, Business Analyst"
PMO - Measurement & Reporting Analyst,Zeta Inc.,Bangalore/Bengaluru,2-5,"PCI DSS, Data analysis, Backend, Bfsi, Project management, SOC, ISO 27001, JIRA"
Solution Analyst,Cargill,Bangalore/Bengaluru,5-10,"Unix, SAP, Data management, Database design, Stored procedures, Data mining, Continuous improvement, Solution Analyst"
Portfolio Analyst,Cargill,Bangalore/Bengaluru,2-5,"Service management, Operational excellence, Project management, Process improvement, Analytical, project portfolio management, Data quality, Project delivery"
Operations Analyst,Cargill,Bangalore/Bengaluru,3-6,"Supply chain, SAP BPC, Basic, Data analysis, Operations Analyst, SAP, Compliance, power bi"
Operations Analysis Analyst,IHS Markit,Bangalore/Bengaluru,2-5,"Root cause analysis, Corporate actions, PDF, Business studies, Finance, Back office, Data quality, HTTP"
Analyst - Digital Marketing,TE Connectivity,Bangalore/Bengaluru(JP Nagar),4-9,"digital marketing, adobe analytics, digital analytics, data analysis, Sitecatalyst, Tableau, SQL"
"Analyst , Revenue Operations",Nutanix India Technologies Private Limited,Bangalore/Bengaluru,0-2,"CRM, written communication, Revenue Operations, verbal, SalesForce com, Excel, MS office, Sales"
GRE Global Delivery Analyst,IBM,Bangalore/Bengaluru,1-5,"Data analysis, Data collection, Data mining, Operations, Analytics, Process optimization, Interpersonal skills, Data quality"
Information Security Analyst,Accenture,Bangalore/Bengaluru,2-5,"Information Security, Procurement, data analysis, IS Security, CIO, Legal Operations, MS Team"
IT Analyst,Applied Materials,Bangalore/Bengaluru,4-7,"SAP, Business Intelligence, Business Enhancement, Use Cases, testing, Data Collection, New Business"
Campaign Analyst,Roposo,Bangalore/Bengaluru,0-2,"Campaign management, Business Analyst, Client servicing, Consulting, Hypothesis Testing, Data processing, Troubleshooting, Analytics"
IT Projects Business Analyst,Collabera Technologies Pvt. Ltd.,Bangalore/Bengaluru,3-6,"Financial Accounting, Managerial Accounting, SAP, Agile, IT Skills, Testing, Process analysis, Business Analyst"
MIS Analyst,ALLEGIS GLOBAL SOLUTION,Bangalore/Bengaluru,5-8,"MIS reporting, Automation, Usage, MIS, Analytical, Process excellence, Data Processor, Advanced Excel"
Campaign Analyst,Glance IT Solution,Bangalore/Bengaluru,0-2,"IT Skills, Testing, Campaign management, Business Analyst, Client servicing, Consulting, Hypothesis Testing, Data processing"
Analyst - Supply Chain Management,Cresc Datasoft Private Limited,Bengaluru,0-2,"BPO, Supply chain, Analyst, Quality improvement, Warehouse, Customer service operations, Data quality, ITES"
Analyst-HR Operations,Accenture,Bangalore/Bengaluru,3-5,"Administration, SAP, Performance management, Consulting, Succession planning, Job analysis, Backend, Publishing"
